SeqNo,stationbus,stationA,stationB,traveltime,SeqNo,stoptime,UpdateTime,EffectiveDate
1,淡水-象山,捷運淡水站,捷運紅樹林站,175,1,0,20250603,20250603
2,淡水-象山,捷運紅樹林站,捷運竹圍站,138,2,25,20250603,20250603
3,淡水-象山,捷運竹圍站,捷運關渡站,148,3,25,20250603,20250603
4,淡水-象山,捷運關渡站,捷運忠義站,80,4,25,20250603,20250603
5,淡水-象山,捷運忠義站,捷運復興崗站,112,5,25,20250603,20250603
6,淡水-象山,捷運復興崗站,捷運北投站,135,6,25,20250603,20250603
7,淡水-象山,捷運北投站,捷運奇岩站,91,7,28,20250603,20250603
8,淡水-象山,捷運奇岩站,捷運唭哩岸站,75,8,23,20250603,20250603
9,淡水-象山,捷運唭哩岸站,捷運石牌站,103,9,24,20250603,20250603
10,淡水-象山,捷運石牌站,捷運明德站,63,10,26,20250603,20250603
11,淡水-象山,捷運明德站,捷運芝山站,79,11,26,20250603,20250603
12,淡水-象山,捷運芝山站,捷運士林站,94,12,26,20250603,20250603
13,淡水-象山,捷運士林站,捷運劍潭站,95,13,26,20250603,20250603
14,淡水-象山,捷運劍潭站,捷運圓山站,112,14,26,20250603,20250603
15,淡水-象山,捷運圓山站,捷運民權西路站,88,15,26,20250603,20250603
16,淡水-象山,捷運民權西路站,捷運雙連站,60,16,34,20250603,20250603
17,淡水-象山,捷運雙連站,捷運中山站,62,17,28,20250603,20250603
18,淡水-象山,捷運中山站,捷運台北車站,68,18,28,20250603,20250603
19,淡水-象山,捷運台北車站,捷運台大醫院站,67,19,35,20250603,20250603
20,淡水-象山,捷運台大醫院站,捷運中正紀念堂站,95,20,26,20250603,20250603
21,淡水-象山,捷運中正紀念堂站,捷運東門站,175,21,30,20250603,20250603
22,淡水-象山,捷運東門站,捷運大安森林公園站,75,22,31,20250603,20250603
23,淡水-象山,捷運大安森林公園站,捷運大安站,74,23,25,20250603,20250603
24,淡水-象山,捷運大安站,捷運信義安和站,90,24,37,20250603,20250603
25,淡水-象山,捷運信義安和站,捷運台北101/世貿站,94,25,26,20250603,20250603
26,淡水-象山,捷運台北101/世貿站,捷運象山站,93,26,29,20250603,20250603
27,北投-大安,捷運北投站,捷運奇岩站,91,1,0,20250603,20250603
28,北投-大安,捷運奇岩站,捷運唭哩岸站,75,2,23,20250603,20250603
29,北投-大安,捷運唭哩岸站,捷運石牌站,103,3,24,20250603,20250603
30,北投-大安,捷運石牌站,捷運明德站,63,4,26,20250603,20250603
31,北投-大安,捷運明德站,捷運芝山站,79,5,26,20250603,20250603
32,北投-大安,捷運芝山站,捷運士林站,94,6,26,20250603,20250603
33,北投-大安,捷運士林站,捷運劍潭站,95,7,26,20250603,20250603
34,北投-大安,捷運劍潭站,捷運圓山站,112,8,26,20250603,20250603
35,北投-大安,捷運圓山站,捷運民權西路站,88,9,26,20250603,20250603
36,北投-大安,捷運民權西路站,捷運雙連站,60,10,34,20250603,20250603
37,北投-大安,捷運雙連站,捷運中山站,62,11,28,20250603,20250603
38,北投-大安,捷運中山站,捷運台北車站,68,12,28,20250603,20250603
39,北投-大安,捷運台北車站,捷運台大醫院站,67,13,35,20250603,20250603
40,北投-大安,捷運台大醫院站,捷運中正紀念堂站,95,14,26,20250603,20250603
41,北投-大安,捷運中正紀念堂站,捷運東門站,175,15,30,20250603,20250603
42,北投-大安,捷運東門站,捷運大安森林公園站,75,16,31,20250603,20250603
43,北投-大安,捷運大安森林公園站,捷運大安站,74,17,25,20250603,20250603
44,松山-新店,捷運松山站,捷運南京三民站,138,1,0,20250603,20250603
45,松山-新店,捷運南京三民站,捷運台北小巨蛋站,102,2,27,20250603,20250603
46,松山-新店,捷運台北小巨蛋站,捷運南京復興站,84,3,27,20250603,20250603
47,松山-新店,捷運南京復興站,捷運松江南京站,92,4,33,20250603,20250603
48,松山-新店,捷運松江南京站,捷運中山站,106,5,35,20250603,20250603
49,松山-新店,捷運中山站,捷運北門站,116,6,35,20250603,20250603
50,松山-新店,捷運北門站,捷運西門站,86,7,28,20250603,20250603
51,松山-新店,捷運西門站,捷運小南門站,83,8,34,20250603,20250603
52,松山-新店,捷運小南門站,捷運中正紀念堂站,76,9,27,20250603,20250603
53,松山-新店,捷運中正紀念堂站,捷運古亭站,87,10,38,20250603,20250603
54,松山-新店,捷運古亭站,捷運台電大樓站,85,11,33,20250603,20250603
55,松山-新店,捷運台電大樓站,捷運公館站,79,12,30,20250603,20250603
56,松山-新店,捷運公館站,捷運萬隆站,122,13,29,20250603,20250603
57,松山-新店,捷運萬隆站,捷運景美站,89,14,27,20250603,20250603
58,松山-新店,捷運景美站,捷運大坪林站,92,15,27,20250603,20250603
59,松山-新店,捷運大坪林站,捷運七張站,78,16,27,20250603,20250603
60,松山-新店,捷運七張站,捷運新店區公所站,81,17,24,20250603,20250603
61,松山-新店,捷運新店區公所站,捷運新店站,111,18,25,20250603,20250603
62,松山-台電大樓,捷運松山站,捷運南京三民站,138,1,0,20250603,20250603
63,松山-台電大樓,捷運南京三民站,捷運台北小巨蛋站,102,2,27,20250603,20250603
64,松山-台電大樓,捷運台北小巨蛋站,捷運南京復興站,84,3,27,20250603,20250603
65,松山-台電大樓,捷運南京復興站,捷運松江南京站,92,4,33,20250603,20250603
66,松山-台電大樓,捷運松江南京站,捷運中山站,106,5,35,20250603,20250603
67,松山-台電大樓,捷運中山站,捷運北門站,116,6,35,20250603,20250603
68,松山-台電大樓,捷運北門站,捷運西門站,86,7,28,20250603,20250603
69,松山-台電大樓,捷運西門站,捷運小南門站,83,8,34,20250603,20250603
70,松山-台電大樓,捷運小南門站,捷運中正紀念堂站,76,9,27,20250603,20250603
71,松山-台電大樓,捷運中正紀念堂站,捷運古亭站,87,10,38,20250603,20250603
72,松山-台電大樓,捷運古亭站,捷運台電大樓站,85,11,33,20250603,20250603
73,七張-小碧潭,捷運七張站,捷運小碧潭站,203,1,0,20250603,20250603
74,北投-新北投,捷運北投站,捷運新北投站,157,1,0,20250603,20250603
75,南港展覽館-頂埔,捷運南港展覽館站,捷運南港站,112,1,0,20250603,20250603
76,南港展覽館-頂埔,捷運南港站,捷運昆陽站,109,2,24,20250603,20250603
77,南港展覽館-頂埔,捷運昆陽站,捷運後山埤站,107,3,25,20250603,20250603
78,南港展覽館-頂埔,捷運後山埤站,捷運永春站,76,4,29,20250603,20250603
79,南港展覽館-頂埔,捷運永春站,捷運市政府站,87,5,25,20250603,20250603
80,南港展覽館-頂埔,捷運市政府站,捷運國父紀念館站,77,6,28,20250603,20250603
81,南港展覽館-頂埔,捷運國父紀念館站,捷運忠孝敦化站,71,7,28,20250603,20250603
82,南港展覽館-頂埔,捷運忠孝敦化站,捷運忠孝復興站,65,8,28,20250603,20250603
83,南港展覽館-頂埔,捷運忠孝復興站,捷運忠孝新生站,90,9,40,20250603,20250603
84,南港展覽館-頂埔,捷運忠孝新生站,捷運善導寺站,81,10,40,20250603,20250603
85,南港展覽館-頂埔,捷運善導寺站,捷運台北車站,66,11,25,20250603,20250603
86,南港展覽館-頂埔,捷運台北車站,捷運西門站,120,12,42,20250603,20250603
87,南港展覽館-頂埔,捷運西門站,捷運龍山寺站,110,13,35,20250603,20250603
88,南港展覽館-頂埔,捷運龍山寺站,捷運江子翠站,192,14,29,20250603,20250603
89,南港展覽館-頂埔,捷運江子翠站,捷運新埔站,77,15,28,20250603,20250603
90,南港展覽館-頂埔,捷運新埔站,捷運板橋站,107,16,28,20250603,20250603
91,南港展覽館-頂埔,捷運板橋站,捷運府中站,67,17,28,20250603,20250603
92,南港展覽館-頂埔,捷運府中站,捷運亞東醫院站,102,18,28,20250603,20250603
93,南港展覽館-頂埔,捷運亞東醫院站,捷運海山站,142,19,26,20250603,20250603
94,南港展覽館-頂埔,捷運海山站,捷運土城站,106,20,26,20250603,20250603
95,南港展覽館-頂埔,捷運土城站,捷運永寧站,95,21,26,20250603,20250603
96,南港展覽館-頂埔,捷運永寧站,捷運頂埔站,180,22,28,20250603,20250603
97,南港展覽館-亞東醫院,捷運南港展覽館站,捷運南港站,112,1,0,20250603,20250603
98,南港展覽館-亞東醫院,捷運南港站,捷運昆陽站,109,2,24,20250603,20250603
99,南港展覽館-亞東醫院,捷運昆陽站,捷運後山埤站,107,3,25,20250603,20250603
100,南港展覽館-亞東醫院,捷運後山埤站,捷運永春站,76,4,29,20250603,20250603
101,南港展覽館-亞東醫院,捷運永春站,捷運市政府站,87,5,25,20250603,20250603
102,南港展覽館-亞東醫院,捷運市政府站,捷運國父紀念館站,77,6,28,20250603,20250603
103,南港展覽館-亞東醫院,捷運國父紀念館站,捷運忠孝敦化站,71,7,28,20250603,20250603
104,南港展覽館-亞東醫院,捷運忠孝敦化站,捷運忠孝復興站,65,8,28,20250603,20250603
105,南港展覽館-亞東醫院,捷運忠孝復興站,捷運忠孝新生站,90,9,40,20250603,20250603
106,南港展覽館-亞東醫院,捷運忠孝新生站,捷運善導寺站,81,10,40,20250603,20250603
107,南港展覽館-亞東醫院,捷運善導寺站,捷運台北車站,66,11,25,20250603,20250603
108,南港展覽館-亞東醫院,捷運台北車站,捷運西門站,120,12,42,20250603,20250603
109,南港展覽館-亞東醫院,捷運西門站,捷運龍山寺站,110,13,35,20250603,20250603
110,南港展覽館-亞東醫院,捷運龍山寺站,捷運江子翠站,192,14,29,20250603,20250603
111,南港展覽館-亞東醫院,捷運江子翠站,捷運新埔站,77,15,28,20250603,20250603
112,南港展覽館-亞東醫院,捷運新埔站,捷運板橋站,107,16,28,20250603,20250603
113,南港展覽館-亞東醫院,捷運板橋站,捷運府中站,67,17,28,20250603,20250603
