地點,里程,建築者,建築年份,通車年份,說明
基隆─臺北,28.6,民國前(劉銘傳),1887,1891,
臺北─新竹,78.1,民國前(劉銘傳),1888,1893,
臺北─淡水,21.2,光復前臺灣鐵道部,1900,1901,民國78年5月8日起拆除。
高雄港─九曲堂,17.4,光復前臺灣鐵道部,1904,1907,
新竹─竹南,19,光復前臺灣鐵道部,1899,1908,
竹南─彰化(山線),89.3,光復前臺灣鐵道部,1899,1908,
彰化─高雄港,189,光復前臺灣鐵道部,1899,1908,
華山─臺北,1.2,光復前臺灣鐵道部,1912,1912,
九曲堂─屏東,7.2,光復前臺灣鐵道部,1911,1913,
北投─新北投,1.2,光復前臺灣鐵道部,1916,1916,民國78年5月8日起拆除。
花蓮─玉里,87.1,光復前臺灣鐵道部,1909,1917,花蓮至田蒲民國71年拆除。
基隆─臺北(雙線),28.6,光復前臺灣鐵道部,1912,1919,添築雙線。
竹南─彰化(海線),91.2,光復前臺灣鐵道部,1919,1922,
關山─臺東,41.9,光復前臺東拓植公司,1922,1922,收購。
成功─追分,2.2,光復前臺灣鐵道部,1919,1922,民國71年拆除。
臺東─臺東海岸,1.3,光復前臺灣鐵道部,1923,1923,民國71年拆除。
屏東─南州,22.4,光復前臺灣鐵道部,1920,1923,
八堵─蘇澳,95,光復前臺灣鐵道部,1917,1924,
基隆─八堵(宜蘭線),3.7,光復前臺灣鐵道部,1921,1926,
玉里─關山,41.4,光復前臺灣鐵道部,1921,1926,
二水─車埕,29.7,光復前臺灣電力公司,1927,1927,收購。
三貂嶺─菁桐,12.9,光復前臺陽礦業公司,1929,1929,收購。
臺北─竹南(雙線),97.1,光復前臺灣鐵道部,1927,1935,添築雙線。
臺南─高雄港(雙線),46.5,光復前臺灣鐵道部,1927,1935,添築雙線。
花蓮─花蓮港,4,光復前臺灣鐵道部,1931,1939,民國71年拆除。
鼓山─高雄(雙線),2.6,光復前臺灣鐵道部,1937,1940,添築雙線。
南州─枋寮,18,光復前臺灣鐵道部,1940,1941,林邊至枋寮11.2公里民國33年拆除，42年修復。
鎮安─東港,6.2,光復前臺灣鐵道部,1940,1941,民國84年拆1.15公里。
高雄─鳳山(雙線),5.7,光復前臺灣鐵道部,1937,1942,添築雙線。
民雄─嘉義(雙線),9.3,光復前臺灣鐵道部,1938,1942,添築雙線。
臺南─新市(雙線),11.4,光復前臺灣鐵道部,1939,1943,添築雙線。
新竹─竹東,16.6,臺灣鐵路管理局,1946,1947,
萬華─新店,10.4,臺北鐵路公司,1949,1949,民國38年收購，54年拆除。
竹東─合興,7.7,臺灣鐵路管理局,1949,1950,
合興─內灣,3.6,臺灣鐵路管理局,1950,1951,
潭子─神岡,8.7,臺灣鐵路管理局,1956,1957,
豐原─東勢,14.1,臺灣鐵路管理局,1958,1959,民國80年9月停運。
瑞芳─深澳,6.3,臺灣鐵路管理局,1959,1961,
板橋─中和,6.5,臺灣鐵路管理局,1965,1965,民國82年9月拆除。
桃園─林口,19.2,臺灣鐵路管理局,1966,1967,
深澳─濂洞,6,臺灣鐵路管理局,1966,1967,海濱至濂洞3.7公里於民國66年12月拆除，深澳至海濱民國79年8月停駛。
侯硐─三貂嶺(雙線),2.5,臺灣鐵路管理局,1967,1968,添築雙線。
彰化─民雄(雙線),71.7,臺灣鐵路管理局,1957,1970,添築雙線。
嘉義─新市(雙線),50.1,臺灣鐵路管理局,1957,1970,添築雙線。
甲南─臺中港,7.8,臺灣鐵路管理局,1973,1974,
新埔─通霄(雙線),5.8,臺灣鐵路管理局,1974,1974,添築雙線。
苑裡─日南(雙線),7.8,臺灣鐵路管理局,1974,1974,添築雙線。
甲南─清水(雙線),6,臺灣鐵路管理局,1974,1974,添築雙線。
新城─花蓮港,19.2,臺灣省政府,1973,1975,
大甲─甲南(雙線),5.3,臺灣鐵路管理局,1974,1977,添築雙線。
冬山─蘇澳新站(雙線),5.4,臺灣鐵路管理局,1974,1977,添築雙線。
四腳亭─瑞芳(雙線),5.8,臺灣鐵路管理局,1974,1977,添築雙線。
牡丹─雙溪(雙線),3.1,臺灣鐵路管理局,1974,1978,添築雙線。
花蓮─花蓮港,5.8,臺灣鐵路管理局,1975,1979,
花蓮─和平,39.4,臺灣鐵路管理局,1978,1979,
和平─蘇澳新站,39.8,臺灣鐵路管理局,1973,1980,
花蓮─田浦,2.4,臺灣省政府,1973,1980,
花蓮─臺東(拓寬),162.2,臺灣省政府,1978,1982,東線拓寬。
二結─羅東,3.1,臺灣省政府,1980,1982,添築雙線。
羅東─冬山(雙線),5,臺灣省政府,1980,1982,添築雙線。
外澳─頭城(雙線),3.7,臺灣省政府,1980,1982,添築雙線。
石城─大里(雙線),2.7,臺灣省政府,1980,1983,添築雙線。
頭城─礁溪(雙線),6.3,臺灣省政府,1980,1983,添築雙線。
四城─宜蘭(雙線),3.6,臺灣省政府,1980,1983,添築雙線。
八堵─四腳亭(雙線),3.8,臺灣省政府,1980,1984,添築雙線。
雙溪─福隆(雙線),9.1,臺灣省政府,1980,1984,添築雙線。
大里─龜山(雙線),9.7,臺灣省政府,1980,1984,添築雙線。
礁溪─四城(雙線),4.7,臺灣省政府,1980,1984,添築雙線。
宜蘭─二結(雙線),5.8,臺灣省政府,1980,1984,添築雙線。
瑞芳─侯硐(雙線),4.5,臺灣省政府,1980,1985,添築雙線。
三貂嶺─牡丹(雙線),3.7,臺灣省政府,1980,1985,添築雙線。
福隆─石城(雙線),5.6,臺灣省政府,1980,1985,添築雙線。
蘇澳新站─蘇澳(雙線),4.5,臺灣省政府,1980,1985,添築雙線。
臺東新站─知本,12.7,臺灣省政府,1980,1985,
九曲堂─六塊厝(雙線),5,臺灣省政府,1983,1987,添築雙線。
豐原─成功(雙線),26.1,臺灣省政府,1984,1987,添築雙線。
成功─彰化(雙線),7.1,臺灣省政府,1984,1988,添築雙線。
六塊厝─屏東(雙線),2.2,臺灣省政府,1983,1988,添築雙線。
知本─太麻里,11.8,臺灣省政府,1980,1988,
鳳山─九曲堂(雙線),8,臺灣省政府,1989,1989,添築雙線。
南勢─銅鑼(雙線),4.1,臺灣省政府,1990,1990,添築雙線。
太麻里─枋寮,73.7,臺灣省政府,1980,1991,
銅鑼─三義(雙線),7.5,臺灣省政府,1993,1993,添築雙線。
竹南─造橋(雙線),4.7,臺灣省政府,1987,1994,添築雙線。
豐富─苗栗(雙線),2.7,臺灣省政府,1987,1994,添築雙線。
造橋─豐富(雙線),6.4,臺灣省政府,1987,1996,添築雙線。
后里─豐原(雙線),6.8,臺灣省政府,1987,1997,添築雙線。
三義─后里(雙線),15.8,臺灣省政府,1987,1998,添築雙線。
苗栗─南勢(雙線),6.9,臺灣省政府,1987,1998,添築雙線。
臺北─板橋(地下化),9,臺北市區地下鐵路工程處,1999,1999,鐵路地下化。
漢本─花蓮(雙線),42.478,鐵路改建工程局東部工程處,1992,2003,添築雙線、電氣化、重軌、PC枕。
花蓮─瑞穗,70.5,鐵路改建工程局東部工程處,1992,2003,舖設重軌、PC枕。
臺北車站,1.4,臺灣鐵路管理局,,,民國93年4月30日拆除臺北車站27.4公里至28.8公里處1至4股道。
蘇澳新站─漢本,36.67,鐵路改建工程局東部工程處,1993,2004,添築雙線。
花蓮港線,10.491,鐵路改建工程局東部工程處,1992,2004,舖設重軌、PC枕。
松山─南港(地下化),7.7,鐵路改建工程局,1998,2008,鐵路地下化。
基隆車站,2.9,臺灣鐵路管理局,1978,2010,民國99年4月27日拆除基隆站內10至16股道。
基隆車站,2,臺灣鐵路管理局,1969,2010,民國99年4月27日拆除基隆站內3至5股、機庫線1股及轉車台線。
竹中─六家,3.1,鐵路改建工程局,2005,2011,添築雙線。
桃園車站,3.1,臺灣鐵路管理局,1969,1969,民國101年5月拆除桃園站側線5至11股、拖上線及麵粉線。
林口線,19.2,臺灣鐵路管理局,1966,1968,民國102年停駛。
隆田─善化(雙線),3.75,臺灣鐵路管理局,2001,2013,曾文溪橋新建。
新市─永康(雙線),2.9,臺灣鐵路管理局,2009,2013,鹽水溪橋新建。
舞鶴─三民(單線),1.6,鐵路改建工程局東部工程處,2013,2013,花東鐵路電氣化工程。
三民─玉里(單線),4.1,鐵路改建工程局東部工程處,2013,2013,花東鐵路電氣化工程。
東里─東竹(單線),2.1,鐵路改建工程局東部工程處,2012,2013,花東鐵路電氣化工程。
東竹─富里(單線),2.9,鐵路改建工程局東部工程處,2012,2013,花東鐵路電氣化工程。
池上─海端(單線),0.3,鐵路改建工程局東部工程處,2012,2013,花東鐵路電氣化工程。
